id;Nombre del producto;Categoría;Subcategoría;Categorias;Precio incluido IVA de la variante;Código de producto;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
26;Pantalon Camel;Hombre;Pantalones;Hombre,Pantalones;49.95;chinos-camel-1;Pantalon chino camel;Pantalón chino clásico elaborado en tejido de algodón, con un 3% de lycra. Cierre mediante botón y tapeta con cierre oculto, dos bolsillos laterales, y dos de ojal abotonado en la parte posterior, y trabillas para el cinturón.;La Garrocha
27;Zapato Oxford;Hombre;Zapatos;Hombre,Zapatos;79.95;zapato-oxford-1;Zapato oxford clasico;Zapato de cordones tipo blucher con pala vega picada. Elaborados con cuero de alta calidad y cosidos con hilo de alta resistencia. Suela de caucho cosida y pegada para una mayor resistencia y flexibilidad.;La Garrocha
28;Zapato Caña;Hombre;Zapatos;Hombre,Zapatos;79.95;zapato-caña-1;Zapato náutico ;Zapato tipo náutico para hombre. De diseño clásico, elaborados en cuero de alta calidad y cosidos con hilo de alta resistencia. Suela de caucho, adorno de pasalazos, cierre con cordones y pin conmemorativo de La Garrocha.;La Garrocha
29;Alpargata Sotomayor Caza;Hombre;Alpargatas;Hombre,Alpargatas;32.95;ALPARGATA-SOTOMAYOR-1;Alpargata verde con piel;Alpargata elaborada en tejido de lona. Detalle de talonera en piel sintética con emblema grabado de La Garrocha. Suela combinada de yute y piel sintética y piso de goma. Cuidados: Limpieza con un trapo y cepillo en seco. No lavar. No sumergir en agua.;La Garrocha
30;Alpargata Sotomayor Tinto;Hombre;Alpargatas;Hombre,Alpargatas;32.95;alpargata-sotomayor-tinto-1;Alpargata tinto con piel;Alpargata elaborada en tejido de lona. Detalle de talonera en piel sintética con emblema grabado de La Garrocha. Suela combinada de yute y piel sintética y piso de goma. Cuidados: Limpieza con un trapo y cepillo en seco. No lavar. No sumergir en agua.;La Garrocha
31;Alpargata Mascun Caza;Hombre;Alpargatas;Hombre,Alpargatas;32.95;alpargata-mascun-caza-1;Alpargata verde caza;Alpargata elaborada en tejido de ante sintético. Detalle en piel sintética con emblema bordado de La Garrocha. Suela combinada de yute y piel sintética y piso de goma.  Cuidados: Limpieza con un trapo y cepillo en seco. No lavar. No sumergir en agua.;La Garrocha
32;Alpargata Mascun Marino;Hombre;Alpargatas;Hombre,Alpargatas;32.95;alpargata-mascún-marino-1;Alpargata azul marino;Alpargata elaborada en tejido de ante sintético. Detalle en piel sintética con emblema bordado de La Garrocha. Suela combinada de yute y piel sintética y piso de goma.  Cuidados: Limpieza con un trapo y cepillo en seco. No lavar. No sumergir en agua.;La Garrocha
33;Corbata Brand Marino;Complementos;Corbatas;Complementos,Corbatas;34.95;corbata-brand-azul-1;Corbata azul;Corbata confeccionada en 100% seda, tejido en estructura con emblemas de La Garrocha en contraste. Incluye forro interior.;La Garrocha
34;Corbata Brand Rojo;Complementos;Corbatas;Complementos,Corbatas;34.95;corbata-brand-rojo-1;Corbata roja;Corbata confeccionada en 100% seda, tejido en estructura con emblemas de La Garrocha en contraste. Incluye forro interior.;La Garrocha
35;Gorra Tavora;Complementos;Gorras;Complementos,Gorras;29.95;GORRA-TAVORA-1;Gorra Tavora;Gorra campera con diseño a cuadros. Ajustable mediante cinta de velcro trasera. Visera moldeable. Pin conmemorativo de La Garrocha en color oro viejo junto a la visera. Talla 55: contornos 55-61 cm;La Garrocha
