Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante
alpargata-mascun-caza-1;TALLA:Color:0;42:0;alpargata-mascun-caza-1_variante_5;2;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;43:0;alpargata-mascun-caza-1_variante_6;2;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;44:0;alpargata-mascun-caza-1_variante_7;2;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;45:0;alpargata-mascun-caza-1_variante_8;2;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;39:0;alpargata-mascún-marino-1_variante_1;1;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;40:0;alpargata-mascún-marino-1_variante_2;1;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;41:0;alpargata-mascún-marino-1_variante_3;1;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;42:0;alpargata-mascún-marino-1_variante_4;1;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;43:0;alpargata-mascún-marino-1_variante_5;2;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;44:0;alpargata-mascún-marino-1_variante_6;2;29,41964286
alpargata-mascún-marino-1;TALLA:Color:0;45:0;alpargata-mascún-marino-1_variante_7;2;29,41964286
corbata-brand-azul-1;0:Color:0;0:0;corbata-brand-azul-1;3;31,20535714
corbata-brand-rojo-1;0:Color:0;0:0;corbata-brand-rojo-1;3;31,20535714
GORRA-TAVORA-1;TALLA:Color:0;S:0;GORRA-TAVORA-1_variante_1;2;26,74107143
GORRA-TAVORA-1;TALLA:Color:0;M:0;GORRA-TAVORA-1_variante_2;2;26,74107143
GORRA-TAVORA-1;TALLA:Color:0;L:0;GORRA-TAVORA-1_variante_3;1;26,74107143
gorra-leza-1;TALLA:Color:0;S:0;gorra-leza-1_variante_1;1;26,74107143
gorra-leza-1;TALLA:Color:0;M:0;gorra-leza-1_variante_2;2;26,74107143
gorra-leza-1;TALLA:Color:0;L:0;gorra-leza-1_variante_3;1;26,74107143
GORRA-ARADE-1;TALLA:Color:0;S :0;GORRA-ARADE-1_variante_1;2;26,74107143
GORRA-ARADE-1;TALLA:Color:0;L:0;GORRA-ARADE-1_variante_2;1;26,74107143
