Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca
CLAVOS PARA MADERA 2 1/2 (2.5 X10) LB.;CONSTRUCCIÓN;VARIOS;CONSTRUCCIÓN/VARIOS;$1,34;91013212;285;OTROS PROVEEDOR
CLAVOS PARA CONSTRUCCIÓN. 2 1/2 CAJA(25 KG);CONSTRUCCIÓN;VARIOS;CONSTRUCCIÓN/VARIOS;$57,63;188410;7;OTROS PROVEEDOR
CODO DESAGUE 110MMX90 PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$4,03;925019;2;PLASTIGAMA
CORREA G 100X50X15X1.8MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$22,53;G010050018;155;OTROS PROVEEDOR
CORREA G 100X50X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$37,21;G010050030;56;OTROS PROVEEDOR
CORREA G 125X50X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$46,11;G012550030;30;OTROS PROVEEDOR
CORREA G 200X50X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$65,09;G020050295;43;OTROS PROVEEDOR
CORREA G 60x30x10x1.5MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$12,68;G006030015;260;OTROS PROVEEDOR
CORREA G 60X30X10X1.8 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$13,03;G006030018;551;OTROS PROVEEDOR
CORREA G 80X40X15X1.5MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$14,77;G008040015;255;OTROS PROVEEDOR
CORREA G 80X40X15X1.8MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$18,35;G008040020;600;OTROS PROVEEDOR
CORREA G 80X40X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$29,32;G008040030;103;OTROS PROVEEDOR
CORREA G GALV 80X40X1.8MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$28,44;G0080400;68;OTROS PROVEEDOR
CORREA G GALV. 100X50X15X2;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$34,02;99352173;72;OTROS PROVEEDOR
CUMBRERO GALVAL 0,30X340X3000;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$6,19;C19187V0304003403000;38;OTROS PROVEEDOR
IPACTECHO 1025X25X0.30X3.60MTS;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$15,86;91020677;10;ULTRAFLEX
IPACTECHO 1025X25X0.30X3MTS;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$13,08;91020676;69;ULTRAFLEX
MALLA ELECTROSOLDADA 3.5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$25,49;005EMA06-03515;2;NOVACERO
MALLA ELECTROSOLDADA 4 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$27,21;91001907;55;NOVACERO
MALLA ELECTROSOLDADA 4.5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$33,30;D91011919;14;NOVACERO
MALLA ELECTROSOLDADA 5 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$67,39;D91011920;23;NOVACERO
MALLA ELECTROSOLDADA 5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$41,95;D91001910;25;NOVACERO
MALLA ELECTROSOLDADA 5.5 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$73,52;99350739;19;NOVACERO
MALLA ELECTROSOLDADA 5.5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$49,95;91001911;43;NOVACERO
MALLA ELECTROSOLDADA 6 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$85,17;91001906;19;NOVACERO
MALLA ELECTROSOLDADA 6 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$51,83;D91011925;9;NOVACERO
MALLA ELECTROSOLDADA 8 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$155,13;99350684;7;NOVACERO
MALLA ELECTROSOLDADA 8 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$114,84;99350683;9;NOVACERO
MAXIEMPASTE EXTERIOR (20KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,72;91014271;14;INTACO
MAXIEMPASTE INTERIOR (20KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$11,04;91013818;192;INTACO
MORTERO ADH CEMIX CONSTRUCTOR 25KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$4,89;34575;222;CEMIX
MORTERO ADH CEMIX PSP 25KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$12,85;34571;121;CEMIX
MORTERO ADH CEMIX UNIVERSAL GRES 25KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$9,98;34573;158;CEMIX
PLANCHA GALVALUME DURA-TECH 0.30MMX4.2MT 14PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$17,67;631652;93;NOVACERO
