Código de producto;Nombre del producto;Categoría;Subcategoría;CATEGOR;Inventario inicial;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
884116409403        ;"LAPTOP DELL RYZEN 5 - 8GB - 256GB SSD - VEGA 8 - 15,6"" HD - 3515";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL RYZEN 5 - 8GB - 256GB SSD - VEGA 8 - 15,6"" HD - 3515";"NOMBRE DE PRODUCTO: D6DM6
MARCA: DELL
MODELO: 3515
PROCESADOR: AMD RYZEN 5 3450U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD
GRÁFICA: AMD VEGA 8
COLOR: SILVER";Dell
884116400042        ;"LAPTOP DELL CORE i7 - 8GB - 512GB SSD - 4GB RTX 3050 - 15,6"" - 120Hz- 5510 G5 15";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i7 - 8GB - 512GB SSD - 4GB RTX 3050 - 15,6"" - 120Hz- 5510 G5 15";"NOMBRE DE PRODUCTO: WMGWW
MARCA: DELL
MODELO: 5510
PROCESADOR: INTEL CORE i7-10870H
MEMORIA: 8 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15,6"" FHD 120Hz
GRÁFICA: 4GB RTX-3050 NVIDIA GEFORCE 
COLOR: NEGRA";Dell
884116387398        ;"LAPTOP DELL VOSTRO RYZEN 5 - 8GB - 256GB SSD - VEGA 8 - 14"" HD -  14 3405";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL VOSTRO RYZEN 5 - 8GB - 256GB SSD - VEGA 8 - 14"" HD -  14 3405";"NOMBRE DE PRODUCTO: YG53W
MARCA: DELL 
MODELO: VOSTRO 14 3405
PROCESADOR: AMD RYZEN 5 3450
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD
GRÁFICA: AMD VEGA 8
COLOR: NEGRA";Dell
810075650716        ;"LAPTOP GIGABYTE CORE i5 - 16GB - 512GB SSD - 4GB RTX3050 - 15,6"" - 144Hz - G5 GD";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP GIGABYTE CORE i5 - 16GB - 512GB SSD - 4GB RTX3050 - 15,6"" - 144Hz - G5 GD";"NOMBRE DE PRODUCTO: 9RC45GD0MLG1M1LA8
MARCA: GIGABYTE
MODELO: G5 GD
PROCESADOR: INTEL CORE i5-11400H
MEMORIA: 16 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15,6"" FHD 144Hz
GRÁFICA: 4GB RTX-3050 NVIDIA GEFORCE 
COLOR: NEGRA";Gigabyte
195697720215        ;"LAPTOP HP AMD 3020E - 4GB - 256GB SSD - 14"" HD - 14-DK1038LA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP AMD 3020E - 4GB - 256GB SSD - 14"" HD - 14-DK1038LA";"NOMBRE DE PRODUCTO: 34S25LA#ABM
MARCA: HP
MODELO: 14-DK1038LA
PROCESADOR: AMD 3020E
MEMORIA: 4 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14"" HD
GRÁFICA: INTEL GRAPHICS
COLOR: PLATEADA";HP
196188031124        ;"LAPTOP HP RYZEN 3 - 8GB - 1TB HDD - 15,6"" HD  - TACTIL - 15-CW1501LA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 3 - 8GB - 1TB HDD - 15,6"" HD  - TACTIL - 15-CW1501LA";"NOMBRE DE PRODUCTO: 4N8Y
MARCA: HP
MODELO: 15-CW1501LA
PROCESADOR: AMD RYZEN 3 3300U
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 15,6"" HD TACTIL
GRÁFICA: AMD GRAPHICS
COLOR: ABYSS_BLUE";HP
195161165580        ;"LAPTOP HP CORE i7 - 8GB - 256GB SSD - 15,6"" HD - 15-DW1073LA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP CORE i7 - 8GB - 256GB SSD - 15,6"" HD - 15-DW1073LA";"NOMBRE DE PRODUCTO: 2A4S2LA#ABM
MARCA: HP
MODELO: 15-DW1073LA
PROCESADOR: INTEL CORE i7-10510U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD LED
GRÁFICA: INTEL GRAPHICS
COLOR: PLATEADA";HP
195122004828        ;"LAPTOP HP RYZEN 5 - 4600H - 8GB - 256GB SSD -  3GB GTX1050 - 15,6"" HD - 15-EC1025LA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 5 - 4600H - 8GB - 256GB SSD -  3GB GTX1050 - 15,6"" HD - 15-EC1025LA";"NOMBRE DE PRODUCTO: 162D6LA#ABM
MARCA: HP
MODELO: 15-EC1025LA
PROCESADOR: AMD RYZEN 5 4600H
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD 
GRÁFICA: 3GB GTX-1050 NVIDIA GEFORCE 
COLOR: NEGRA";HP
195122004873        ;"LAPTOP HP RYZEN 7 - 12GB  - 512GB SSD - 4GB GTX1650Ti - 15,6"" IPS - 15-EC1029LA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 7 - 12GB  - 512GB SSD - 4GB GTX1650Ti - 15,6"" IPS - 15-EC1029LA";"NOMBRE DE PRODUCTO: 162D9LA#ABM
MARCA: HP
MODELO: 15-EC1029LA
PROCESADOR: AMD RYZEN 7 4800H
MEMORIA: 12 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15,6"" IPS LED
GRÁFICA: 4GB GTX1650ti NVIDIA GEFORCE
COLOR: NEGRA";HP
196188406656        ;"LAPTOP HP RYZEN 7 - 12GB - 256GB SSD - 15,6"" HD - TACTIL - 15-EF2081MS";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 7 - 12GB - 256GB SSD - 15,6"" HD - TACTIL - 15-EF2081MS";"NOMBRE DE PRODUCTO: 4W2K4UA#ABA
MARCA: HP
MODELO: 15-EF2081MS
PROCESADOR: AMD RYZEN 7 5700U
MEMORIA: 12 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD TACTIL
GRÁFICA: AMD RADEON
COLOR: PLATEADA";HP
196068804015        ;"LAPTOP HP RYZEN 5 - 8GB - 256GB SSD - 15,6"" FHD - 15-EF2126WM";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 5 - 8GB - 256GB SSD - 15,6"" FHD - 15-EF2126WM";"NOMBRE DE PRODUCTO: 4J771UA
MARCA: HP
MODELO: 15-EF2126WM
PROCESADOR: AMD RYZEN 5 5500U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" FHD
GRÁFICA: AMD RADEON
COLOR: AZUL";HP
