id;Código de producto;imagen;imagen2;imagen3
124;LAP-14-DK1032;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-14-DK1032.jpg
125;LAP-HP-14-DQ2045CL;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-HP-14-DQ2045CL.jpg
126;LAPHPI39K15UA;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAPHPI39K15UA.jpg
127;LAP-HP-I7-1165G7;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-HP-I7-1165G7.jpg
128;LAP-LEN81XPG;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LEN81XPG.jpg
129;LAP-LEN81X;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LEN81X.jpg
130;LAP-LEN81XAL;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LEN81XAL.jpg
131;LAP-LENI7-1065;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LENI7-1065.jpg
132;LAP-LENRYZEN782L;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LENRYZEN782L.jpg
133;LAP-LENRZ5-82B;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LENRZ5-82B.jpg
134;LAP-RYZEN5-17;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-RYZEN5-17.jpg
135;LAP-LENOVO-YOGA7-15I;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-LENOVO-YOGA7-15I.jpg
136;ROU-844N;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ROU-844N.jpg
137;ROU940T-450;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ROU940T-450.jpg
138;ROU-C64A;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ROU-C64A.jpg
139;KIT-REDRAGONS101-BA-;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/KIT-REDRAGONS101-BA-.jpg
140;TEC+MOU+PAD-RZ1276;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC+MOU+PAD-RZ1276.jpg
141;TEC-8100;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-8100.jpg
142;TECKM-8200;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TECKM-8200.jpg
143;TECKM-160;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TECKM-160.jpg
144;TEC-C126;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-C126.jpg
145;TEC-KM200;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-KM200.jpg
146;TECK400L;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TECK400L.jpg
147;TEC220;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC220.jpg
148;TECL270;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TECL270.jpg
149;tecom-wei;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/tecom-wei.jpg
150;TEC100L;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC100L.jpg
151;TEC126;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC126.jpg
152;TECKB-100;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TECKB-100.jpg
153;TECL120;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TECL120.jpg
154;TEC-270I;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-270I.jpg
155;TEC-K830;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-K830.jpg
156;tec110nu;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/tec110nu.jpg
157;TEC-RAZER1240;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-RAZER1240.jpg
158;TEC-RO;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-RO.jpg
159;TEC-REDRAGONK503A-RG;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-REDRAGONK503A-RG.jpg
160;TEC-AK910;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-AK910.jpg
161;TEC-AK837;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/TEC-AK837.jpg
162;HD-TCL-FLEX;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HD-TCL-FLEX.jpg
163;MON19-20MK400HB;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MON19-20MK400HB.jpg
