ID;Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca;IVA
293;UNIDAS LATEX SUPREMO ROSA SUAVE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1035A;2;UNIDAS;53
294;UNIDAS LATEX SUPREMO SOL POSITANO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1063A;6;UNIDAS;53
295;UNIDAS LATEX SUPREMO SOL POSITANOLITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,06;D91018958;1;UNIDAS;53
296;UNIDAS LATEX SUPREMO TABACO LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$6,23;D91019035;2;UNIDAS;53
297;UNIDAS LATEX SUPREMO TANGERINE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1020A;6;UNIDAS;53
298;UNIDAS LATEX SUPREMO TECA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,58;D91019038;2;UNIDAS;53
299;UNIDAS LATEX SUPREMO TERRANOVA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,31;9124531P;1;UNIDAS;53
300;UNIDAS LATEX SUPREMO TIFFANY LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$6,23;D91019046;2;UNIDAS;53
301;UNIDAS LATEX SUPREMO TOQUE DE SOL CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,55;LS-1021F;1;UNIDAS;53
302;UNIDAS LATEX SUPREMO TOQUE DE SOL GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1021A;7;UNIDAS;53
303;UNIDAS LATEX SUPREMO VERDE OLIVO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1015A;2;UNIDAS;53
304;UNIDAS LATEX SUPREMO VIOLETA ENCANTADO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1060A;3;UNIDAS;53
305;VARILLA CORRUGADA 08MM X 12MTS ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$6,52;91001868;24,916;ANDEC;53
306;VARILLA CORRUGADA 10MM X 12MTS ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$10,17;91001871;11,776;ANDEC;53
307;VARILLA CORRUGADA 12 MM X 12 MT ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$14,66;91001874;19,068;ANDEC;53
308;VARILLA CORRUGADA 14MM X 12MTS ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$19,73;91001877;790;ANDEC;53
309;VIGA V1 (7.0MM 10X10) 6.5MT;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$17,67;213587;5;OTROS PROVEEDOR;53
310;VIGA V2 (7.0MM 15X10) 6.5MT;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$15,87;213588;8;OTROS PROVEEDOR;53
311;VIGA V3 (7.0MM 15X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$17,16;D91017316;18;OTROS PROVEEDOR;53
312;VIGA V5 (9.0MM 15X10) 6.5MT;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$26,23;213592;57;OTROS PROVEEDOR;53
313;VIGA V6 (9.0MM 15X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$32,47;D91017318;157;OTROS PROVEEDOR;53
314;VIGA V7 (9.0MM 10X20) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$29,77;D91017319;25;OTROS PROVEEDOR;53
315;VIGA V8 (12.0MM 15X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$44,77;D91017320;130;OTROS PROVEEDOR;53
316;VIGA V9 (12.0MM 25X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$46,52;D91017321;5;OTROS PROVEEDOR;53
